Year,Blacktip shark,Blacktip shark,Dusky shark,Dusky shark,Sandbar shark,Sandbar shark,Large coastal sharks,Large coastal sharks,Large oceanic sharks,Large oceanic sharks,Atlantic sharpnose shark,Atlantic sharpnose shark,Small coastal sharks,Small coastal sharks,Yellowfin tuna,Yellowfin tuna,Bluefin tuna,Bluefin tuna,Other tunas,Other tunas,Billfish,Billfish,Swordfish,Swordfish,Pelagic coastal piscivores,Pelagic coastal piscivores,Amberjack,Amberjack,Cobia,Cobia,King mackerel (0-1yr),King mackerel (1+yr),King mackerel (1+yr),Spanish mackerel (0-1yr),Spanish mackerel (1+yr),Spanish mackerel (1+yr),,Skates-rays,Skates-rays,Gag grouper (0-3yr),Gag grouper (3+yr),Gag grouper (3+yr),Red grouper (0-3yr),Red grouper (3+yr),Red grouper (3+yr),Yellowedge grouper (0-3yr),Yellowedge grouper (3+yr),Yellowedge grouper (3+yr),Goliath grouper,Goliath grouper,Deep-water grouper,Shallow-water grouper,Shallow-water grouper,Red snapper (0yr),Red snapper (1-2yr),Red snapper (1-2yr),Red snapper (3+yr),Red snapper (3+yr),Vermilion snapper,Vermilion snapper,Mutton snapper,Mutton snapper,Other snapper,Other snapper,Inshore coastal piscivores,Sea trout,Sea trout,Oceanic piscivores,Oceanic piscivores,Benthic piscivores,Benthic piscivores,Reef piscivores,Reef piscivores,Reef invertebrate feeders,Reef invertebrate feeders,Demersal coastal invertebrate feeders,Demersal coastal invertebrate feeders,Red drum,Red drum,Benthic coastal invertebrate feeders,Benthic coastal invertebrate feeders,Tilefish,Tilefish,Gray triggerfish,Gray triggerfish,Coastal omnivores,Coastal omnivores,Reef omnivores,Surface pelagics,Sardine-herring-scad,Sardine-herring-scad,Menhaden (0yr),Menhaden (1yr),Menhaden (1yr),Menhaden (2yr),Menhaden (2yr),Menhaden (3yr),Menhaden (3yr),Menhaden (4yr),Menhaden (4yr),Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,Pink shrimp,Pink shrimp,Brown shrimp,Brown shrimp,White shrimp,White shrimp,Crab,Crab,Mobile epifauna,Mobile epifauna
2002,0.958,0.00191,0.629,0.000136,0.62,0.00162,0.997,0.000556,0.83,2.60E-05,0.815,0.00418,0.789,0.000355,0.71,0.00659,1.35,8.30E-05,0.09,0.000713,0.62,0.000188,1.68,0.0018,0.00208,0.0118,1.015,0.00469,1.033,0.00212,1.37,0.982,0.00725,0.894,0.929,0.00678,0.824817518,0.000363,0.00948,1.553,1.319,0.0103,0.461,1.079,0.0104,0.81,0.843,0.00115,1.274,,0.000659,1.417,0.00152,0.955,0.979,0.000329,0.804,0.0164,0.712,0.00477,1.027,0.00109,0.0116,0.00274,0.0159,0.0294,0.029,0.000398,0.00736,0.00135,0.0301,0.000254,0.00166,0.0175,0.0447,0.0297,0.0595,,0.0312,0.000252,0.0393,0.761,0.000792,0.901,0.00275,0.00287,0.0343,8.00E-06,0.00108,0.0113,0.00283,0.48,0.931,0.593,0.919,1.045,1.144,0.196,1.019,0.0374,0.00424,0.0222,0.00614,0.00503,0.694,0.0153,0.525,0.108,0.52,0.0781,0.00173,0.0966,0.0111,0.0366
2003,0.958,0.00285,0.594,0.000124,0.592,0.00138,1.003,0.000514,0.81,3.10E-05,0.78,0.00353,0.799,0.000253,0.74,0.00694,1.51,0.000122,0.12,0.00112,0.49,8.70E-05,1.34,0.00168,0.00187,0.0126,1.041,0.00651,0.982,0.00312,1.949,1.066,0.00739,1.148,0.936,0.00625,0.760340633,0.000294,0.00366,1.438,1.375,0.00952,2.167,1.134,0.00875,0.958,0.846,0.0017,1.345,,0.000809,,0.00184,1.05,0.839,0.000202,0.821,0.0152,0.722,0.00536,1.054,0.00133,0.0138,0.0035,0.0153,0.0309,0.0313,0.0003,0.0101,0.00168,0.055,0.000389,0.00197,0.019,0.0575,0.0291,0.0485,,0.0355,0.000226,0.0501,0.744,0.000586,0.877,0.0033,0.00308,0.037,8.00E-06,0.00129,0.0114,0.00533,0.75,0.615,0.399,0.981,1.13,0.697,0.121,0.881,0.0327,0.00384,0.023,0.000629,0.00988,0.889,0.0145,0.557,0.123,0.514,0.0893,0.00476,0.0935,0.0184,0.0329
2004,0.958,0.00209,0.577,0.000112,0.575,0.00115,1.003,0.00059,0.79,5.10E-05,0.781,0.00392,0.828,0.000382,1.04,0.00565,1.1,0.000198,1.07,0.00142,0.61,0.000136,0.81,0.00172,0.00142,0.0127,0.849,0.00551,0.872,0.00261,1.669,1.165,0.0074,1.072,1.036,0.00743,0.903892944,0.000453,0.0171,1.54,1.401,0.0125,0.336,1.268,0.0136,0.958,0.827,0.00138,1.34,,0.00069,0.872,0.00227,1.334,0.964,0.000265,0.814,0.0168,0.729,0.00506,1.062,0.00115,0.00787,0.00392,0.0139,0.031,0.027,0.000319,0.00744,0.00187,0.0508,0.000379,0.00311,0.0214,0.0407,0.0281,0.094,,0.0382,0.000282,0.0548,0.75,0.000684,0.817,0.00389,0.00468,0.0393,3.60E-05,0.000851,0.0151,0.0071,0.5,0.944,0.631,0.646,0.757,0.725,0.128,0.557,0.0211,0.0049,0.0235,0.0131,0.00645,0.958,0.0148,0.825,0.109,0.75,0.107,0.00614,0.0887,0.0143,0.0351
2005,0.962,0.00184,0.542,0.000102,0.569,0.000965,,0.000686,0.76,5.70E-05,0.764,0.00503,0.839,0.000318,0.77,0.00464,0.99,0.000133,0.96,0.0012,1.06,8.50E-05,1.18,0.00157,0.00235,0.00716,0.693,0.00416,0.893,0.00215,1.028,1.279,0.00704,1.002,1.133,0.00553,0.672749392,0.00082,0.00731,1.107,1.378,0.00983,0.912,1.258,0.0102,0.959,0.821,0.00116,1.364,,0.00063,0.872,0.00148,1.293,1.154,0.000238,0.792,0.0131,0.722,0.0046,1.065,0.000985,0.00285,0.00296,0.0132,0.028,0.0426,0.000258,0.0129,0.00136,0.0345,0.000477,0.00162,0.0165,0.0239,0.0243,0.228,,0.0305,0.00036,0.0602,0.727,0.000869,0.735,0.00267,0.00242,0.0382,1.00E-05,0.000639,0.0109,0.00607,0.66,0.991,0.449,0.985,0.886,0.458,0.0612,0.516,0.0148,0.00408,0.0166,0.0001,0.00678,1.056,0.0128,0.934,0.0857,1.025,0.0956,0.00802,0.0731,0.00875,0.0222
2006,0.966,0.00261,0.542,0.000111,0.565,0.00145,,0.0011,0.75,3.00E-05,0.726,0.00685,0.883,0.000273,0.83,0.00466,1.39,4.40E-05,1,0.00161,0.71,0.000116,1.14,0.00107,0.00245,0.00964,0.594,0.00288,0.869,0.00235,0.786,1.387,0.00806,0.723,1.279,0.00717,0.872262774,0.000259,0.0161,0.661,0.572,0.00512,0.415,0.915,0.00978,0.958,0.823,0.00109,1.351,,0.000639,0.327,0.00133,1.412,1.339,0.000292,0.847,0.0138,0.744,0.00444,1.092,0.00144,0.00366,0.00268,0.0136,0.0345,0.0484,0.000293,0.00782,0.00124,0.0574,0.000872,0.00234,0.0108,0.038,0.0264,0.175,0.99,0.0337,0.00022,0.0599,0.654,0.000455,0.685,0.00173,0.00163,0.0357,,0.000929,0.00869,0.00609,0.88,0.657,0.313,1.104,1.03,1.096,0.152,0.511,0.0152,0.00876,0.0214,0.000223,0.00481,1.292,0.0112,1.076,0.128,1.473,0.126,0.00274,0.0981,0.0116,0.0221
2007,0.97,0.00192,0.525,0.000109,0.557,0.000542,,0.000787,0.73,3.70E-05,0.657,0.00396,0.928,0.000468,0.74,0.00501,1.19,0.000105,0.72,0.00121,0.46,0.000128,0.92,0.0015,0.00106,0.00983,0.589,0.00224,0.841,0.00265,1.398,1.44,0.0071,1.289,1.27,0.00536,0.652068127,0.000286,0.00788,0.958,0.534,0.00496,3.728,0.881,0.00717,0.958,0.828,0.0013,1.348,,0.000476,0.545,0.00139,1.172,1.443,0.000257,0.958,0.0146,0.801,0.00532,1.103,0.00175,0.00189,0.00286,0.0126,0.0319,0.0608,0.000266,0.017,0.00203,0.0454,0.000589,0.0022,0.0124,0.0238,0.0263,0.369,1.08,0.035,0.000198,0.0505,0.638,0.00047,0.66,0.00184,0.00248,0.0281,1.00E-05,0.000975,0.0065,0.0153,0.74,1.46,0.655,0.727,0.649,1.17,0.155,1.051,0.0299,0.00965,0.0166,0.0303,0.00557,1.188,0.005,2.114,0.103,1.326,0.0941,0.00368,0.0848,0.00687,0.0236
2008,0.974,0.000778,0.525,9.90E-05,0.559,6.50E-05,,0.000777,0.72,1.50E-05,0.665,0.00351,0.969,9.30E-05,0.7,0.00377,1.67,7.60E-05,0.58,0.00156,0.65,8.90E-05,0.8,0.00124,0.00363,0.00821,0.677,0.00293,0.912,0.0021,0.453,1.469,0.00801,1.009,1.403,0.00742,0.902676399,0.000585,0.00907,1.302,0.532,0.00663,1.398,1.028,0.0097,0.959,0.823,0.0012,1.425,,0.000504,0.981,0.00117,0.784,1.462,0.000176,1.112,0.00892,0.827,0.0053,1.13,0.00169,0.00537,0.00354,0.0122,0.0354,0.0716,0.000264,0.0199,0.00142,0.0509,0.000529,0.00324,0.0162,0.0361,0.0255,0.289,0.98,0.0379,0.00012,0.0406,0.607,0.000512,0.647,0.00155,0.00367,0.0399,5.00E-06,0.000769,0.00871,0.00987,0.28,1.333,0.34,1.628,0.927,0.816,0.0681,1.267,0.0227,0.00423,0.0187,0.0172,0.00652,1.664,0.00715,1.463,0.0735,2.097,0.0932,0.00457,0.0721,0.00679,0.02
2009,0.982,0.000875,0.507,0.000108,0.566,0.000242,,0.00116,0.7,2.20E-05,0.692,0.0034,1.02,0.000241,0.77,0.00389,1.52,5.60E-05,0.77,0.00221,0.75,0.000126,0.91,0.00159,0.00179,0.0106,0.731,0.00354,0.968,0.00165,0.329,1.463,0.0077,0.781,1.466,0.00719,0.874695864,0.000457,0.0131,1.192,0.536,0.00335,0.301,1.141,0.00761,0.959,0.821,0.00122,1.573,,0.000601,0.327,0.000994,1.229,1.149,0.000135,1.406,0.0107,0.835,0.00725,1.112,0.000934,0.00824,0.00322,0.0119,0.0358,0.058,0.000295,0.0237,0.00186,0.0647,0.000612,0.00146,0.0157,0.0603,0.0263,0.261,1.04,0.0327,9.80E-05,0.0528,0.558,0.000629,0.644,0.00108,0.00145,0.0445,7.00E-06,0.00119,0.00749,0.0106,1.01,0.255,0.0834,1.571,1.101,2.686,0.278,1.368,0.0304,0.00417,0.0188,0.00673,0.0071,1.66,0.00542,2.103,0.112,2.108,0.11,0.00877,0.0897,0.00744,0.0195
2010,0.986,0.0012,0.507,9.00E-05,0.571,0.000168,,0.000583,0.68,1.20E-05,,0.00402,1.053,7.80E-05,0.73,0.00105,1.15,6.50E-05,0.77,0.000671,0.67,1.50E-05,0.44,0.000703,0.00209,0.00596,0.736,0.00325,1.024,0.00217,0.629,1.413,0.00615,1.655,1.436,0.00665,0.809002433,0.0003,0.0167,0.912,0.77,0.00317,0.551,1.271,0.00633,,,,1.796,,0.00033,0.654,0.00051,0.991,1.098,5.50E-05,1.726,0.00817,0.783,0.00438,1.152,0.000871,0.00828,0.00171,0.011,0.0302,0.0772,0.000215,0.0215,0.00212,0.0682,0.000414,0.00144,0.0134,0.0568,0.0238,0.286,0.81,0.0377,0.000103,0.043,,,0.636,0.000876,0.00359,0.0303,8.00E-06,0.00121,0.00361,0.0186,1.391,1.028,0.525,0.294,0.288,2.247,0.329,3.366,0.106,0.00616,0.0179,0.0476,0.00917,1.853,0.00719,2.315,0.0662,1.753,0.0871,0.00924,0.0604,0.0107,0.022
2011,0.994,0.000737,0.507,0.000141,0.573,9.80E-05,,0.000929,0.66,1.70E-05,,0.00279,1.103,0.000415,1.47,0.0034,0.68,1.00E-05,1.39,0.000846,1.87,0.000176,1.59,0.0012,0.00191,0.00662,0.745,0.00246,0.985,0.00257,0.641,1.342,0.00691,0.789,1.648,0.00653,0.794403893,0.00031,0.0185,1.054,0.966,0.00169,0.74,1.403,0.0106,,,,2.312,,0.000302,0.872,0.000526,1.11,1.259,5.90E-05,2.058,0.0138,0.79,0.00758,1.17,0.000654,0.012,0.00251,0.015,0.0441,0.0523,0.00034,0.0256,0.00221,0.0737,0.000276,0.00175,0.0204,0.0609,0.0304,0.287,0.54,0.0427,0.000175,0.0486,,,0.621,0.00144,0.00255,0.0431,2.00E-06,0.00145,0.00443,0.0106,3.281,1.547,0.765,1.126,1.079,0.291,0.0415,2.393,0.0733,0.0042,0.0247,0.0234,0.00667,1.746,0.00599,2.141,0.106,2.637,0.0845,0.0282,0.0814,0.0123,0.0294
2012,0.998,0.00106,0.49,0.000137,0.575,1.20E-05,,0.00055,0.64,3.30E-05,,0.00344,,0.000145,1.33,0.00522,2.29,0.000104,2.6,0.00237,1.68,9.80E-05,0.89,0.00222,0.0017,0.00853,0.785,0.00257,,,0.789,1.254,0.0086,,,,0,0.000334,0.0142,1.015,1.212,0.00246,0.402,1.457,0.0142,,,,3.231,,0.000616,1.199,0.00101,1.32,1.151,5.30E-05,2.269,0.0155,0.771,0.00569,1.201,0.00104,0.0141,0.00285,0.0145,0.0401,0.028,0.000329,0.00423,0.00229,0.0556,0.000502,0.000787,0.017,0.0653,0.0322,0.171,0.39,0.0357,0.00025,0.0377,,,0.576,0.000746,0.00203,0.0453,2.00E-06,0.00105,0.00609,0.0132,1.03,1.215,0.451,1.702,1.316,1.151,0.132,0.637,0.0156,0.00228,0.0196,0.002,0.00342,1.512,0.005,2.193,0.0954,1.449,0.0993,0.0022,0.0812,0.0027,0.0198
2013,1.006,0.00249,0.49,0.000117,0.578,0.000212,,0.000958,0.62,3.50E-05,,0.00555,,0.000197,1.02,0.00385,0.58,2.70E-05,0.5,0.00163,0.99,8.50E-05,0.99,0.00172,0.00194,0.0126,0.829,0.00307,,,,,,,,,0,0.000296,0.0112,0.402,1.542,0.00324,0.645,1.403,0.0144,,,,3.416,,0.000528,2.288,0.00104,0.937,1.32,7.30E-05,2.495,0.0207,0.817,0.00576,1.197,0.00124,0.0107,0.00331,0.0143,0.0334,0.0214,0.000292,0.0125,0.0031,0.066,0.000483,0.00142,0.0174,0.0411,0.0308,0.182,1.17,0.0341,0.000108,0.0472,,,0.549,0.00133,0.00133,0.0401,2.00E-06,0.00125,0.0093,0.00804,1,1.194,0.394,1.386,0.976,2.233,0.232,1.348,0.0301,0.00549,0.0258,0.00646,0.0084,1,0.00466,1.933,0.097,1.752,0.0825,,0.0688,0.0142,0.0227
2014,1.014,0.000954,0.472,0.000181,0.581,1.10E-05,,0.000288,0.6,1.20E-05,,0.00411,,0.000194,0.85,0.00244,0.96,3.60E-05,0.54,0.0007,0.75,7.40E-05,0.6,0.000996,0.00126,0.0118,0.82,0.00287,,,,,,,,,0,0.000443,0.0137,0.717,1.605,0.00217,0.701,1.291,0.0152,,,,3.443,,0.000528,1.199,0.000873,1.179,1.29,6.80E-05,2.671,0.0133,0.867,0.00619,,,0.0107,0.00348,0.0114,0.0147,0.0256,0.000243,0.00896,0.0012,0.053,0.000408,0.000827,0.0153,0.0406,0.0232,0.182,0.88,0.0185,0.000239,0.0449,,,,,0.00214,0.0325,3.90E-05,0.00114,0.00598,0.00819,1.761,0.759,0.212,1.378,0.848,1.974,0.178,2.835,0.055,0.00265,0.0265,0.0244,0.00443,1.237,0.00556,1.386,0.0912,1.228,0.0856,0.00731,0.0761,0.00638,0.0396
2015,1.018,0.00121,0.472,0.000127,0.583,1.00E-05,,0.000248,0.58,1.00E-05,,0.00293,,7.80E-05,0.92,0.00164,0.54,9.00E-06,1.03,0.00105,1.01,8.10E-05,0.57,0.000432,0.0014,0.0133,0.842,0.00323,,,,,,,,,0,0.000313,0.0101,0.897,1.761,0.00209,1.571,0.849,0.0111,,,,,,0.000302,,0.00104,1.533,1.16,8.60E-05,2.944,0.0187,0.933,0.00517,,,0.00739,0.00286,0.0147,0.0201,0.0452,0.000298,0.0181,0.000883,0.0441,0.000686,0.00058,0.0149,0.0327,0.0269,0.21,,0.00637,0.000121,0.0451,,,,,0.00221,0.0138,3.80E-05,0.0014,0.00854,0.00382,1.151,1.12,0.54,0.889,0.835,2.167,0.304,3.12,0.0938,0.00448,0.0196,0.0276,0.0036,1.131,0.0072,1.436,0.0967,0.975,0.0808,0.00765,0.0776,0.00701,0.0353
2016,1.022,0.00079,,0.000116,,9.00E-06,,0.000232,,8.00E-06,,0.00364,,9.20E-05,1.01,0.00301,0.7,,2.05,0.00157,1.2,7.20E-05,0.58,0.000592,0.00147,0.0101,,,,,,,,,,,0,0.00102,0.00702,,,,0.707,0.782,0.00947,,,,,,0.000394,,0.00103,0.876,1.468,0.000129,3.135,0.0194,1.118,0.00553,,,0.0074,0.00335,0.015,0.0204,0.0206,0.000287,0.0215,0.00106,0.0386,0.000432,0.000944,0.0135,0.0305,0.0262,0.127,,0.00514,0.000175,0.0396,,,,,0.00114,0.0192,3.40E-05,0.00128,0.00966,0.00131,1.481,0.93,0.385,1.237,1.041,0.932,0.116,2.411,0.0646,0.00703,0.0199,0.0246,0.0068,0.788,0.00708,1.124,0.0744,0.877,0.104,0.0163,0.076,0.00998,0.0274
